Url,MalScore,FirstSubmission,LastSubmission,LastAnalysis,VT_Link
http://85.209.128.171:8080/123.rar,0,26/06/2025 7:56,26/06/2025 7:56,26/06/2025 7:56,https://www.virustotal.com/gui/url/aHR0cDovLzg1LjIwOS4xMjguMTcxOjgwODAvMTIzLnJhcg
http://85.209.128.171:8080/fant.rar,0,26/06/2025 7:57,26/06/2025 7:57,26/06/2025 7:57,https://www.virustotal.com/gui/url/aHR0cDovLzg1LjIwOS4xMjguMTcxOjgwODAvZmFudC5yYXI
http://85.209.128.171:80/rev.rar,1,26/06/2025 7:56,26/06/2025 8:14,26/06/2025 8:14,https://www.virustotal.com/gui/url/aHR0cDovLzg1LjIwOS4xMjguMTcxOjgwL3Jldi5yYXI
http://85.209.128.171:8000/fant.rar,0,23/06/2025 6:21,26/06/2025 7:57,26/06/2025 7:57,https://www.virustotal.com/gui/url/aHR0cDovLzg1LjIwOS4xMjguMTcxOjgwMDAvZmFudC5yYXI
http://65.38.121.107:8000/123.txt,5,26/06/2025 7:57,26/06/2025 7:57,26/06/2025 7:57,https://www.virustotal.com/gui/url/aHR0cDovLzY1LjM4LjEyMS4xMDc6ODAwMC8xMjMudHh0
http://85.209.128.171:8080/sss.rar,0,26/06/2025 7:59,26/06/2025 7:59,26/06/2025 7:59,https://www.virustotal.com/gui/url/aHR0cDovLzg1LjIwOS4xMjguMTcxOjgwODAvc3NzLnJhcg
http://85.209.128.171:8000/2.rar,0,26/06/2025 7:56,26/06/2025 7:56,26/06/2025 7:56,https://www.virustotal.com/gui/url/aHR0cDovLzg1LjIwOS4xMjguMTcxOjgwMDAvMi5yYXI
https://sss.qwadx.com/spoolsvc.rar,10,27/08/2025 9:00,27/08/2025 9:24,27/08/2025 9:24,https://www.virustotal.com/gui/url/aHR0cHM6Ly9zc3MucXdhZHguY29tL3Nwb29sc3ZjLnJhcg
http://85.209.128.171:80/1.rar,4,26/06/2025 7:56,26/06/2025 8:14,26/06/2025 8:14,https://www.virustotal.com/gui/url/aHR0cDovLzg1LjIwOS4xMjguMTcxOjgwLzEucmFy
http://85.209.128.171:8080/1234.rar,0,26/06/2025 7:59,26/06/2025 7:59,26/06/2025 7:59,https://www.virustotal.com/gui/url/aHR0cDovLzg1LjIwOS4xMjguMTcxOjgwODAvMTIzNC5yYXI
http://85.209.128.171:8080/12.rar,0,26/06/2025 7:56,26/06/2025 7:56,26/06/2025 7:56,https://www.virustotal.com/gui/url/aHR0cDovLzg1LjIwOS4xMjguMTcxOjgwODAvMTIucmFy
https://sss.qwadx.com/11.exe,3,02/06/2025 12:09,02/06/2025 12:09,02/06/2025 12:09,https://www.virustotal.com/gui/url/aHR0cHM6Ly9zc3MucXdhZHguY29tLzExLmV4ZQ
http://85.209.128.171:8080/1.rar,3,26/06/2025 8:02,26/06/2025 8:02,26/06/2025 8:02,https://www.virustotal.com/gui/url/aHR0cDovLzg1LjIwOS4xMjguMTcxOjgwODAvMS5yYXI
http://85.209.128.171:8000/1.rar,5,23/06/2025 6:21,26/06/2025 7:56,26/06/2025 7:56,https://www.virustotal.com/gui/url/aHR0cDovLzg1LjIwOS4xMjguMTcxOjgwMDAvMS5yYXI
http://141.98.82.198:443/note.txt,5,27/08/2025 8:59,27/08/2025 9:25,27/08/2025 9:25,https://www.virustotal.com/gui/url/aHR0cDovLzE0MS45OC44Mi4xOTg6NDQzL25vdGUudHh0
http://65.38.121.107:8000/,5,29/10/2024 7:17,26/06/2025 7:56,26/06/2025 7:56,https://www.virustotal.com/gui/url/aHR0cDovLzY1LjM4LjEyMS4xMDc6ODAwMC8
http://85.209.128.171:8080/revv2.exe,0,26/06/2025 8:01,26/06/2025 8:01,26/06/2025 8:01,https://www.virustotal.com/gui/url/aHR0cDovLzg1LjIwOS4xMjguMTcxOjgwODAvcmV2djIuZXhl
http://85.209.128.171:8090/2.rar,0,26/06/2025 7:59,26/06/2025 7:59,26/06/2025 7:59,https://www.virustotal.com/gui/url/aHR0cDovLzg1LjIwOS4xMjguMTcxOjgwOTAvMi5yYXI
http://85.209.128.171:8080/.rar,0,26/06/2025 8:03,26/06/2025 8:03,26/06/2025 8:03,https://www.virustotal.com/gui/url/aHR0cDovLzg1LjIwOS4xMjguMTcxOjgwODAvLnJhcg
http://85.209.128.171:8080/2.rar,0,26/06/2025 7:59,26/06/2025 7:59,26/06/2025 7:59,https://www.virustotal.com/gui/url/aHR0cDovLzg1LjIwOS4xMjguMTcxOjgwODAvMi5yYXI
http://85.209.128.171:8080/ewq.rar,0,26/06/2025 8:00,26/06/2025 8:00,26/06/2025 8:00,https://www.virustotal.com/gui/url/aHR0cDovLzg1LjIwOS4xMjguMTcxOjgwODAvZXdxLnJhcg
https://document.hometowncity.cloud/,16,14/01/2025 8:42,15/09/2025 6:43,15/09/2025 6:43,https://www.virustotal.com/gui/url/aHR0cHM6Ly9kb2N1bWVudC5ob21ldG93bmNpdHkuY2xvdWQv
